Lab: ,AGAT LABORATORIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company:,Suncor Energy Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hole ID:, SUNCOR ET AL HANGSTN 9-4-85-9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Date:,06/05/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reported Date:,06/05/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dry Sieve,,,,,,,,,Full PSD Curve,,,,,,,,,,,,,,,,,,,,,MB,
,,,Depth,,10 Mesh,18 Mesh,40 Mesh,60 Mesh,100 Mesh,200 Mesh,325 Mesh,<325,PSD Total,Sieve - % Passing,,,,,,,Coulter - % Passing,,,,,,,,,,,d90,d50,d10,MBI,PSD MB Sample Comment
,,,From,To,(2mm),(1mm),(425µm),(250µm),(150µm),(75µm),(45µm),(<45µm),,(2000 µm),(1000 µm),(420 µm),(250 µm),(149 µm),(74.3 µm),(44.2 µm),(44 µm),(31 µm),(22 µm),(16 µm),(11 µm),(7.8 µm),(6.6 µm),(3.9 µm),(2.8 µm),(1.9 µm),(1.3 µm),,,,,
RC_Number,Hole_ID,SID,m,m,% wt,% wt,% wt,% wt,% wt,% wt,% wt,% Passing,%,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,µm,µm,µm,meq/100g,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,25,467.85,468.25,0.04,0.02,1.83,32.33,46.64,11.60,2.09,5.44,100.00,99.96,99.94,98.11,65.78,19.13,7.53,5.44,4.92,4.21,3.57,3.05,2.49,1.98,1.74,1.03,0.67,0.37,0.18,368.77,209.85,86.14,0.24,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,26,468.90,469.20,0.00,0.26,1.06,31.18,49.28,11.00,1.73,5.48,100.00,100.00,99.74,98.68,67.49,18.21,7.21,5.48,5.04,4.21,3.51,2.92,2.31,1.79,1.56,0.91,0.59,0.33,0.17,363.53,208.04,88.62,0.30,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,27,471.97,472.30,0.00,0.10,0.31,0.41,1.22,37.96,11.66,48.33,100.00,100.00,99.90,99.59,99.17,97.95,59.99,48.33,42.92,35.28,29.19,24.26,19.09,14.87,12.98,7.81,5.33,3.18,1.72,128.79,47.61,4.87,4.71,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,28,479.80,480.05,0.02,0.02,0.00,0.24,0.83,74.25,12.43,12.21,100.00,99.98,99.96,99.96,99.72,98.89,24.64,12.21,10.82,8.78,6.95,5.58,4.25,3.22,2.77,1.58,1.02,0.56,0.28,137.09,94.23,38.23,0.83,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,29,480.80,481.07,0.04,0.02,0.13,0.15,1.06,53.42,16.21,28.98,100.00,99.96,99.95,99.82,99.67,98.61,45.19,28.98,26.51,22.80,19.59,17.12,14.41,11.83,10.51,6.34,4.14,2.25,1.08,133.19,79.10,6.19,2.27,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,30,481.65,482.04,0.02,0.02,0.02,0.17,0.69,75.80,13.35,9.93,100.00,99.98,99.96,99.94,99.77,99.08,23.28,9.93,8.88,7.24,5.81,4.71,3.61,2.75,2.36,1.32,0.83,0.43,0.20,137.08,94.95,44.33,0.54,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,31,482.65,483.05,0.02,0.04,0.10,0.10,1.36,77.61,11.03,9.75,100.00,99.98,99.94,99.84,99.74,98.38,20.77,9.75,9.06,7.68,6.56,5.65,4.67,3.77,3.31,1.92,1.21,0.62,0.28,138.21,96.56,44.73,0.71,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,32,483.75,484.10,0.02,0.02,0.04,0.15,0.94,60.34,8.99,29.50,100.00,99.98,99.96,99.92,99.77,98.83,38.49,29.50,28.62,26.28,24.17,22.28,19.92,17.17,15.55,9.83,6.58,3.71,1.84,134.57,84.85,3.96,3.57,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,33,485.75,486.11,0.02,0.14,0.55,1.89,20.42,55.91,6.90,14.18,100.00,99.98,99.84,99.30,97.41,76.99,21.08,14.18,13.45,11.69,10.35,9.25,8.02,6.75,6.04,3.69,2.40,1.29,0.61,207.21,106.49,19.86,1.49,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,34, 488.85 , 489.05 ,0.00,0.00,0.11,9.63,69.90,15.08,1.78,3.51,100.00,100.00,100.00,99.89,90.27,20.37,5.29,3.51,3.24,2.66,2.23,1.89,1.54,1.23,1.08,0.63,0.40,0.21,0.10,249.50,185.55,92.35,0.18,
