 SCIENTIFIC DRILLING INTERNATIONAL
 COMPANY 		: Suncor Energy Inc.
 FIELD   		: Firebag
 SITE    		: 2-10-95-6 W4M (PAD 105)
 WELL   		: Suncor P105N18 Firebag 3-3-95-6
 WELLPATH		: 105/03-03-095-06W4/00
 LICENSE		: 0484034
 DESIGN			: Final Surveys (P105N18)
 MAP SYSTEM		: Universal Transverse Mercator
 GEODIC DATUM		: North American Datum 1983
 MAP ZONE		: Zone 12N (114 W to 108 W)
 CALCULATION METHOD	: Minimum Curvature

 GRID COORDINATES					    ,   ,   , GEOGRAPHIC COORDINATES	 
 EASTING 		: 507061.35 m    ,   ,   , 			LATITUDE		: 57° 13' 17.825 N
 NORTHING 		: 6342061.91 m    ,   ,   , 		LONGITUDE		: 110° 52' 59.029 W
 VSECT DIREC 		: 192.23 deg 
 NORTH REF		: True
 GRID CONVERGENCE	: 0.10 deg 
 KB ELEV  		: 604.51 m 
 GL ELEV 		: 598.91 m 
 SURVEY DATE		: 9/22/2017

 MAGNETIC MODEL		: USER DEFINED
 REFERENCE DATE		: 10/13/2017
 FIELD STRENGTH		: 57898.00 nT 
 DIP ANGLE		: 78.42 deg 
 DECLINATION		: 12.28 deg 

 , , , , , Local Coordinates, ,UTM Coordinates
Measured Depth,Incl.,Azim.,Sub-Sea Depth,Vertical Depth,+N/S-,+E/W-,Northings,Eastings,Vertical Section,Dogleg Rate
     m    ,  ,    m    ,      m    ,       m    ,     m    ,     m     ,           m     ,       m     ,      m     ,    °/30m   ,
   535.74,   78.900,  205.300,    -277.91,     326.60,    -211.07, -267.88, 6341850.384N,  506793.829E,    263.01,     10.69,    ,
   544.95,   82.870,  203.690,    -276.45,     328.06,    -219.34, -271.65, 6341842.104N,  506790.075E,    271.89,     13.93,   DDE #2, Hz = 544.95m,
   554.32,   86.210,  200.150,    -275.56,     328.95,    -227.99, -275.13, 6341833.447N,  506786.609E,    281.09,     15.54,    ,
   563.56,   86.950,  195.350,    -275.00,     329.51,    -236.77, -277.94, 6341824.660N,  506783.813E,    290.26,     15.74,    ,
   573.01,   86.310,  192.310,    -274.45,     330.06,    -245.93, -280.20, 6341815.498N,  506781.574E,    299.69,      9.85,    ,
   582.28,   85.970,  187.990,    -273.82,     330.69,    -255.03, -281.83, 6341806.393N,  506779.960E,    308.93,     13.99,    ,
   591.64,   85.670,  184.940,    -273.14,     331.37,    -264.31, -282.88, 6341797.116N,  506778.925E,    318.22,      9.80,    ,
   600.77,   87.220,  182.730,    -272.58,     331.93,    -273.40, -283.49, 6341788.024N,  506778.332E,    327.23,      8.86,    ,
   610.14,   89.230,  180.070,    -272.28,     332.23,    -282.76, -283.72, 6341778.662N,  506778.119E,    336.43,     10.67,    ,
   619.38,   90.300,  178.570,    -272.25,     332.26,    -292.00, -283.61, 6341769.424N,  506778.245E,    345.44,      5.98,    ,
   628.63,   90.230,  177.860,    -272.29,     332.22,    -301.25, -283.32, 6341760.179N,  506778.549E,    354.41,      2.31,    ,
