# WELL TRACE FROM PETREL 
# WELL NAME:              105141509506W400
# DEFINITIVE SURVEY:      P121P10 Definitive Survey
# WELL HEAD X-COORDINATE: 505232.18000000 (m)
# WELL HEAD Y-COORDINATE: 6344194.69000000 (m)
# WELL DATUM (KB, KB, from MSL): 597.40000000 (m)
# WELL TYPE:              OIL
# MD AND TVD ARE REFERENCED (=0) AT WELL DATUM AND INCREASE DOWNWARDS
# ANGLES ARE GIVEN IN DEGREES
# XYZ TRACE IS GIVEN IN COORDINATE SYSTEM UTM83-12 ("MENTOR:UTM83-12:NAD83 UTM, Zone 12 North, Meter") [SIS,502388]
# AZIM_TN: azimuth in True North 
# AZIM_GN: azimuth in Grid North 
# DX DY ARE GIVEN IN GRID NORTH IN m-UNITS
# DEPTH (Z, tvd_z) GIVEN IN m-UNITS
#===============================================================================================================================================
      MD            X            Y            Z           TVD           DX          DY        AZIM_TN        INCL         DLS        AZIM_GN
 81.440000000 505234.06739 6344192.3897 516.05305460 81.346945398 1.8873859376 -2.300291146 146.46000000 4.9900000000 1.8181195370 146.38709773
 86.140000000 505234.31273 6344192.0264 511.37359686 86.026403136 2.1327313093 -2.663644632 145.68222438 5.7195946414 4.6798699002 145.60932211
 90.840000000 505234.59630 6344191.6170 506.70010733 90.699892665 2.4162978365 -3.073017161 145.08000000 6.4500000000 4.6798699002 145.00709773
 95.510000000 505234.92386 6344191.1591 502.06424672 95.335753279 2.7438577904 -3.530875070 143.97993470 7.4039572066 6.1869084561 143.90703243
 100.18000000 505235.30501 6344190.6448 497.43841794 99.961582055 3.1250129009 -4.045158720 143.13000000 8.3600000000 6.1869084561 143.05709773
 103.33000000 505235.59976 6344190.2661 494.32525162 103.07474838 3.4197648140 -4.423900700 141.31665092 9.1763420219 8.2073605431 141.24374865
 106.48000000 505235.93368 6344189.8617 491.21927859 106.18072141 3.7536783207 -4.828284546 139.79848138 10.000251014 8.2073605431 139.72557912
 109.63000000 505236.30668 6344189.4318 488.12120150 109.27879850 4.1266778826 -5.258218778 138.51000000 10.830000000 8.2073605431 138.43709773
 112.72666667 505236.71248 6344188.9844 485.08408900 112.31591100 4.5324814402 -5.705583607 137.25997650 11.675614500 8.5257327106 137.18707423
 115.82333333 505237.15809 6344188.5128 482.05625272 115.34374728 4.9780878459 -6.177241934 136.17703632 12.525912152 8.5257327106 136.10413405
 118.92000000 505237.64339 6344188.0169 479.03840697 118.36159303 5.4633919737 -6.673082490 135.23000000 13.380000000 8.5257327106 135.15709773
 122.05666667 505238.17528 6344187.4878 475.99289480 121.40710520 5.9952751209 -7.202197858 134.63639847 14.308777929 8.9862706057 134.56349620
 125.19333333 505238.74755 6344186.9295 472.95995818 124.44004182 6.5675469149 -7.760540463 134.11379173 15.238852539 8.9862706057 134.04088946
 128.33000000 505239.36005 6344186.3420 469.94041267 127.45958733 7.1800534702 -8.347960162 133.65000000 16.170000000 8.9862706057 133.57709773
 131.49000000 505240.01685 6344185.7176 466.91331014 130.48668986 7.8368528138 -8.972420798 133.60546008 17.176658406 9.5576529532 133.53255781
 134.65000000 505240.71256 6344185.0571 463.90260326 133.49739674 8.5325625441 -9.632904799 133.56571161 18.183325531 9.5576529532 133.49280934
 137.81000000 505241.44697 6344184.3608 460.90922152 136.49077848 9.2669678758 -10.32920825 133.53000000 19.190000000 9.5576529532 133.45709773
 140.93666667 505242.21017 6344183.6394 457.96439177 139.43560823 10.030166302 -11.05064515 133.39620335 20.079911236 8.5494784522 133.32330108
