# WELL TRACE FROM PETREL 
# WELL NAME:              111140909506W400
# DEFINITIVE SURVEY:      P121P11_Definitive_Survey
# WELL HEAD X-COORDINATE: 505711.43000000 (m)
# WELL HEAD Y-COORDINATE: 6344836.03000000 (m)
# WELL DATUM (KB, KB, from MSL): 595.60000000 (m)
# WELL TYPE:              OIL
# MD AND TVD ARE REFERENCED (=0) AT WELL DATUM AND INCREASE DOWNWARDS
# ANGLES ARE GIVEN IN DEGREES
# XYZ TRACE IS GIVEN IN COORDINATE SYSTEM UTM83-12 ("MENTOR:UTM83-12:NAD83 UTM, Zone 12 North, Meter") [SIS,502388]
# AZIM_TN: azimuth in True North 
# AZIM_GN: azimuth in Grid North 
# DX DY ARE GIVEN IN GRID NORTH IN m-UNITS
# DEPTH (Z, tvd_z) GIVEN IN m-UNITS
#===============================================================================================================================================
      MD            X            Y            Z           TVD           DX          DY        AZIM_TN        INCL         DLS        AZIM_GN
 59.000000000 505711.26884 6344834.4408 536.64192409 58.958075914 -0.161157622 -1.589235098 171.76959742 4.6400000000 4.2468491352 171.69000000
 63.570000000 505711.32954 6344834.0693 532.08746723 63.512532765 -0.100463311 -1.960714024 169.86593454 4.8140409146 1.5379888575 169.78633712
 68.140000000 505711.40480 6344833.6862 527.53419243 68.065807567 -0.025199934 -2.343823669 168.09659742 4.9930000000 1.5379888575 168.01700000
 71.570000000 505711.47086 6344833.3910 524.11756818 71.482431823 0.0408595968 -2.639005683 166.85042754 5.1303560858 1.5387716785 166.77083012
 75.000000000 505711.54513 6344833.0893 520.70168551 74.898314492 0.1151261832 -2.940740014 165.66959742 5.2700000000 1.5387716785 165.59000000
 78.880000000 505711.63906 6344832.7399 516.83859976 78.761400239 0.2090576566 -3.290061078 164.40751377 5.4337664001 1.5593467838 164.32791635
 82.760000000 505711.74355 6344832.3820 512.97657234 82.623427664 0.3135479770 -3.647970610 163.21959742 5.6000000000 1.5593467838 163.14000000
 87.445000000 505711.86540 6344831.9075 508.31733147 87.282668534 0.4354020162 -4.122477329 167.82205277 6.4191372575 6.0814572345 167.74245535
 92.130000000 505711.96586 6344831.3588 503.66574269 91.934257307 0.5358555334 -4.671207297 171.36959742 7.2700000000 6.0814572345 171.29000000
 95.213333333 505712.02194 6344830.9495 500.61026518 94.989734819 0.5919429268 -5.080505165 173.08773101 8.1380145811 8.7368844084 173.00813359
 98.296666667 505712.07207 6344830.4927 497.56142454 98.038575462 0.6420705167 -5.537275306 174.47570173 9.0118633872 8.7368844084 174.39610431
 101.38000000 505712.11623 6344829.9886 494.51996961 101.08003039 0.6862259930 -6.041405527 175.61959742 9.8900000000 8.7368844084 175.54000000
 104.52000000 505712.15618 6344829.4235 491.43158651 104.16841349 0.7261795711 -6.606535729 176.41322428 10.908436203 9.8258424149 176.33362685
 107.66000000 505712.19219 6344828.8031 488.35377494 107.24622506 0.7621874584 -7.226862965 177.07270647 11.928569941 9.8258424149 176.99310905
 110.80000000 505712.22424 6344828.1278 485.28752651 110.31247349 0.7942380520 -7.902187377 177.62959742 12.950000000 9.8258424149 177.55000000
 113.97666667 505712.25177 6344827.3900 482.19797167 113.40202833 0.8217719917 -8.640029337 178.23351398 13.942119745 9.4627080197 178.15391656
 117.15333333 505712.27353 6344826.5985 479.12167908 116.47832092 0.8435294589 -9.431485686 178.75862323 14.935533820 9.4627080197 178.67902580
 120.33000000 505712.28950 6344825.7537 476.05958955 119.54041045 0.8595037977 -10.27631437 179.21959742 15.930000000 9.4627080197 179.14000000
 124.85500000 505712.30385 6344824.4692 471.72099578 123.87900422 0.8738502493 -11.56084581 179.64551971 17.069609843 7.5978206803 179.56592228
 129.38000000 505712.30962 6344823.0985 467.40882937 128.19117063 0.8796199118 -12.93147617 180.01959742 18.210000000 7.5978206803 179.94000000
 132.46000000 505712.30882 6344822.1092 464.49220946 131.10779054 0.8788242465 -13.92075374 180.22609792 19.276468587 10.407752162 180.14650050
 135.54000000 505712.30442 6344821.0659 461.59451687 134.00548313 0.8744225962 -14.96411982 180.41172440 20.343145653 10.407752162 180.33212698
 138.62000000 505712.29642 6344819.9688 458.71675938 136.88324062 0.8664164916 -16.06121154 180.57959742 21.410000000 10.407752162 180.50000000
 141.76666667 505712.28841 6344818.7920 455.79868198 139.80131802 0.8584106523 -17.23800599 180.36438998 22.533084862 10.734842989 180.28479256
 144.91333333 505712.28443 6344817.5582 452.90424332 142.69575668 0.8544345216 -18.47177428 180.16860464 23.656430023 10.734842989 180.08900721
 148.06000000 505712.28449 6344816.2680 450.03456116 145.56543884 0.8544896344 -19.76203993 179.98959742 24.780000000 10.734842989 179.91000000
 151.18333333 505712.28720 6344814.9292 447.21300248 148.38699752 0.8571986091 -21.10077311 179.93885851 26.003317814 11.751974956 179.85926109
 154.30666667 505712.29121 6344813.5306 444.42067961 151.17932039 0.8612136054 -22.49941278 179.89237562 27.226651847 11.751974956 179.81277820
 157.43000000 505712.29653 6344812.0727 441.65886581 153.94113419 0.8665327942 -23.95732119 179.84959742 28.450000000 11.751974956 179.77000000
 160.59000000 505712.30469 6344810.5474 438.89175472 156.70824528 0.8746913844 -25.48263580 179.69870584 29.299843585 8.0977307948 179.61910841
